price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,zipcode,lat,long,sqft_living15,sqft_lot15,sale_age,age,renovated,basement,viewed
365000.0,4,2.25,2070,8893,2.0,0,4,8,2070,98058,47.4388,-122.162,2390,7700,28,28,0,0,0
865000.0,5,3.0,2900,6730,1.0,0,5,8,1830,98115,47.6784,-122.285,2370,6283,37,37,0,1,0
1038000.0,4,2.5,3770,10893,2.0,0,3,11,3770,98006,47.5646,-122.129,3710,9685,17,17,0,0,1
1490000.0,3,3.5,4560,14608,2.0,0,3,12,4560,98034,47.6995,-122.228,4050,14226,25,25,0,0,1
711000.0,3,2.5,2550,5376,2.0,0,3,9,2550,98052,47.6647,-122.083,2250,4050,10,10,0,0,0
211000.0,4,2.0,1710,8288,1.5,0,3,7,1710,98031,47.3947,-122.174,1710,7200,44,44,0,0,0
790000.0,4,2.5,2690,8036,2.0,0,4,9,2690,98007,47.6596,-122.144,2420,8087,27,27,0,0,0
680000.0,3,2.5,1800,4400,1.0,0,5,7,1350,98199,47.6599,-122.396,1920,4400,44,44,0,1,0
384500.0,3,2.5,1600,2610,2.0,0,3,8,1600,98027,47.5344,-122.068,1445,1288,9,9,0,0,0
605000.0,2,1.0,910,3600,1.0,0,4,7,910,98119,47.6341,-122.361,1720,3600,105,105,0,0,0
638000.0,3,1.0,1830,4400,1.5,0,4,8,1720,98122,47.6052,-122.3,1650,4400,85,85,0,1,0
385000.0,3,1.75,1930,14389,1.0,0,3,7,1130,98155,47.7733,-122.317,1730,14378,17,52,1,1,0
175000.0,2,1.0,1410,7000,1.0,0,3,7,1410,98055,47.4908,-122.223,1540,6000,47,47,0,0,0
365000.0,3,2.25,1960,1985,2.0,0,3,7,1750,98118,47.5419,-122.289,1760,1985,12,12,0,1,0
160000.0,3,1.0,1140,3240,1.5,0,4,6,1140,98014,47.7093,-121.364,1140,4700,105,105,0,0,0
1070000.0,4,3.75,4130,12320,2.0,0,3,11,4130,98059,47.5194,-122.151,3690,11227,13,13,0,0,0
800000.0,6,1.0,1430,20620,2.0,0,3,7,1430,98004,47.6255,-122.209,2450,10080,61,61,0,0,0
795127.0,4,3.25,4360,91158,1.0,0,3,10,3360,98053,47.6398,-121.985,3540,90940,21,21,0,1,0
355000.0,4,1.0,1440,7215,1.5,0,3,7,1440,98034,47.7133,-122.212,1150,7215,45,45,0,0,0
474000.0,4,2.25,1960,14834,1.0,0,4,8,1330,98072,47.7434,-122.095,1540,15000,39,39,0,1,0
485000.0,5,2.0,1910,5508,1.0,0,3,7,1020,98133,47.7074,-122.349,1030,7440,46,46,0,1,0
930000.0,4,4.25,5710,24663,2.0,0,3,11,5710,98092,47.3065,-122.158,4060,23847,7,7,0,0,0
920000.0,3,2.75,2590,223027,2.0,0,3,9,2590,98074,47.6145,-122.001,3410,212137,31,31,0,0,0
560000.0,3,1.5,2790,6900,1.0,0,3,8,1700,98125,47.7328,-122.288,2410,8100,59,59,0,1,1
654000.0,3,3.25,1530,1565,2.0,0,3,8,1280,98122,47.6179,-122.312,1530,1381,9,9,0,1,0
549000.0,3,2.25,1920,10961,2.0,0,3,8,1920,98074,47.6432,-122.057,2000,10706,33,33,0,0,0
290000.0,3,1.0,1010,10800,1.0,0,4,7,1010,98045,47.4483,-121.773,1370,9500,42,42,0,0,0
275000.0,1,1.0,520,4800,1.0,0,3,5,520,98106,47.5533,-122.363,800,4960,84,84,0,0,0
329990.0,4,2.75,2420,8438,2.0,0,3,8,2420,98022,47.2089,-122.011,2270,8770,18,18,0,0,0
750000.0,2,1.5,1110,3600,1.0,0,5,7,1110,98119,47.6382,-122.359,1670,5400,111,111,0,0,0
425000.0,3,2.75,1360,542322,1.0,0,4,7,1140,98022,47.2069,-122.024,1700,60548,60,60,0,1,1
515000.0,3,1.5,2200,7620,1.0,0,4,7,1130,98177,47.7263,-122.363,2170,7672,73,73,0,1,0
605000.0,3,1.75,1850,8823,1.0,0,4,8,1370,98008,47.6379,-122.112,1880,7580,41,41,0,1,0
250000.0,3,2.25,1640,4420,2.0,0,4,7,1640,98002,47.31100000000001,-122.21,1230,6632,31,96,1,0,0
330000.0,3,1.75,1340,10276,1.0,0,4,7,1340,98034,47.7207,-122.222,2950,7987,53,53,0,0,0
984000.0,4,2.25,2390,12292,1.0,0,5,9,2390,98040,47.5528,-122.221,2870,12337,53,53,0,0,0
827500.0,5,4.25,3920,5823,2.0,0,3,9,3000,98029,47.5492,-122.008,3000,5297,15,15,0,1,0
485000.0,3,2.5,2540,51836,1.0,0,4,8,1820,98042,47.389,-122.088,1650,51836,38,38,0,1,0
306000.0,3,2.0,1160,7217,1.0,0,3,7,1160,98034,47.7279,-122.227,1870,9104,45,45,0,0,0
1890000.0,4,4.25,4285,9345,2.0,0,3,10,4285,98004,47.6332,-122.199,1570,8994,1,1,0,0,0
514000.0,3,2.25,2260,54014,1.0,0,3,7,1450,98072,47.7657,-122.131,2140,44431,52,52,0,1,0
282613.0,2,1.0,830,6017,1.0,0,4,6,830,98133,47.7466,-122.334,1340,6040,60,60,0,0,0
309000.0,5,2.75,2481,4045,2.0,0,3,8,2481,98001,47.2602,-122.284,2363,4175,0,0,0,0,0
400000.0,3,2.0,1650,5027,1.5,0,3,7,1650,98065,47.515,-121.874,2430,6000,6,6,0,0,0
310000.0,3,1.0,1010,9945,1.0,0,4,6,1010,98065,47.5324,-121.763,1390,12710,41,41,0,0,0
253200.0,3,1.0,1360,5840,1.0,0,4,5,1360,98056,47.4945,-122.166,1250,6708,62,62,0,0,0
334009.0,4,2.0,1650,9305,1.0,0,4,6,1650,98034,47.7183,-122.213,1860,7486,54,54,0,0,0
500000.0,3,2.0,1540,3600,1.0,0,3,7,890,98122,47.6103,-122.296,1540,3600,21,21,0,1,0
441500.0,3,1.75,1510,7700,1.0,0,3,7,1510,98034,47.7283,-122.194,1440,7416,47,47,0,0,0
685000.0,4,2.0,2290,6000,1.5,0,5,7,2290,98115,47.6807,-122.318,2000,3150,115,115,0,0,1
327000.0,4,2.5,1630,5361,2.0,0,3,7,1630,98144,47.5704,-122.294,1920,5046,15,15,0,0,0
450000.0,4,1.75,1520,5250,1.0,0,3,6,1520,98199,47.6581,-122.39,1530,5250,65,65,0,0,0
356000.0,3,3.5,2100,12384,2.0,0,3,9,2100,98188,47.4687,-122.263,2400,7776,34,34,0,0,0
525000.0,3,1.75,1560,6000,1.0,0,3,6,780,98199,47.6501,-122.384,1560,1734,70,70,0,1,0
675000.0,3,2.5,1300,1590,2.0,0,3,8,1100,98109,47.6384,-122.343,1070,1223,0,0,0,1,0
875000.0,5,4.25,4720,18741,2.0,0,3,11,3210,98053,47.6347,-122.013,3880,37328,9,9,0,1,0
345000.0,3,2.5,1990,20466,1.5,0,4,8,1410,98010,47.3259,-121.896,1660,93393,27,27,0,1,0
695000.0,4,3.0,3150,9130,2.0,0,3,9,3150,98075,47.5974,-122.017,2970,6228,13,13,0,0,0
350000.0,2,1.0,1620,9205,1.0,0,5,6,850,98034,47.7119,-122.23,2460,5469,93,93,0,1,0
695000.0,4,2.5,2790,6540,2.0,0,3,9,2790,98074,47.6087,-122.016,2790,6270,15,15,0,0,0
400000.0,4,3.0,2320,13068,2.0,0,3,8,2320,98198,47.3497,-122.317,2220,25265,17,17,0,0,1
330000.0,2,1.0,1129,3840,1.0,0,3,7,1129,98106,47.5313,-122.351,1300,3880,62,62,0,0,0
265000.0,3,1.5,1290,7100,1.0,0,3,6,1290,98198,47.4227,-122.332,1300,7183,60,60,0,0,0
630000.0,4,2.5,2290,26720,2.0,0,3,8,2290,98177,47.7502,-122.374,2290,26720,37,37,0,0,0
312000.0,2,1.0,1460,6000,1.0,0,2,7,1260,98115,47.7009,-122.317,1580,6380,89,89,0,1,0
156000.0,2,1.0,920,5889,1.0,0,4,6,920,98002,47.3012,-122.218,1210,6180,65,65,0,0,0
300000.0,6,2.5,3080,8163,1.0,0,3,7,1580,98030,47.3859,-122.221,1850,8658,29,29,0,1,0
1225000.0,4,2.5,3120,49456,2.0,1,4,9,2590,98198,47.3535,-122.323,2030,32181,25,40,1,1,1
465000.0,2,1.0,1120,4000,1.0,0,3,7,1120,98105,47.6567,-122.327,1620,4000,89,89,0,0,0
923990.0,4,2.5,3600,6055,2.0,0,3,9,3600,98052,47.7053,-122.126,3590,6050,0,0,0,0,0
320000.0,4,2.25,2000,10374,2.0,0,4,7,2000,98023,47.3342,-122.34,2170,10374,48,48,0,0,1
375000.0,3,1.0,1610,11250,1.0,0,3,7,1090,98028,47.7391,-122.256,2040,10692,39,39,0,1,0
985000.0,3,1.75,1670,5400,2.0,0,5,8,1670,98112,47.635,-122.284,2100,5400,102,102,0,0,0
